backup started 08/13/2026 08:47:46
[08:47:46] device OK: PA7B40NGE5300009W
[08:47:48] OK   persist                32 MB
[08:47:48] OK   picocfg                 0 MB
[08:47:48] OK   modemst1                2 MB
[08:47:48] OK   modemst2                2 MB
[08:47:49] OK   fsg                     2 MB
[08:47:49] OK   fsc                  0.12 MB
[08:47:52] OK   boot                   64 MB
[08:47:52] OK   dtbo                    8 MB
[08:47:52] OK   vbmeta               0.06 MB
[08:47:55] OK   recovery               64 MB
[08:47:55] OK   misc                    1 MB
[08:47:56] OK   frp                   0.5 MB
[08:47:56] OK   keystore              0.5 MB
[08:47:56] OK   ssd                  0.01 MB
[08:47:56] OK   devinfo                 0 MB
[08:47:56] OK   sec                  0.02 MB
[08:47:56] OK   cdt                  0.12 MB
[08:47:57] OK   ddr                     1 MB
[08:47:57] OK   xbl                   3.5 MB
[08:47:57] OK   xbl_config           0.12 MB
[08:47:57] OK   abl                     1 MB
[08:47:58] OK   aop                   0.5 MB
[08:47:58] OK   tz                      2 MB
[08:47:58] OK   hyp                   0.5 MB
[08:47:58] OK   keymaster             0.5 MB
[08:47:58] OK   cmnlib                0.5 MB
[08:47:59] OK   cmnlib64              0.5 MB
[08:47:59] OK   devcfg               0.12 MB
[08:47:59] OK   qupfw                0.06 MB
[08:47:59] OK   storsec              0.12 MB
[08:47:59] OK   ImageFv                 1 MB
[08:47:59] OK   dip                     1 MB
[08:48:00] OK   apdp                 0.25 MB
[08:48:00] OK   msadp                0.25 MB
[08:48:00] OK   limits                  0 MB
[08:48:00] OK   spunvm                  8 MB
[08:48:01] OK   sti                     2 MB
[08:48:01] OK   toolsfv                 1 MB
[08:48:01] OK   logfs                   8 MB
[08:48:03] OK   splash              32.64 MB
[08:48:04] OK   mdtp                   32 MB
[08:48:05] OK   mdtpsecapp              4 MB
[08:48:05] OK   bluetooth               1 MB
[08:48:07] OK   dsp                    32 MB
[08:48:12] OK   modem                 120 MB
[08:48:17] FAIL dd vendor : 
[08:48:17] FAIL dd oem : 
[08:48:17] FAIL dd system : 
[08:48:17] DONE  ok=45 fail=3  total=0.42 GB  -> F:\PN2Lineage\backup_nonEye
